,Age: 18-34,Age: 35-44,Age: 45-64,Age: 65+,overall
"Other, please specify",0.0006721909078772154,0.0,0.008843562858358562,0.009834456949688843,0.005627915322334284
Don't know/ No opinion,0.06229939477160786,0.04045217941076354,0.057844713877544064,0.0210844093783683,0.04716990086376157
"None of the above, I do not engage with election content on online platforms",0.07938445727904336,0.1516048959762444,0.18914154242100029,0.3785429287007057,0.20226148376972874
Creating and posting your own election-related content,0.14106692654548758,0.11320643895697483,0.059975745596944054,0.041150494524380486,0.08434498713548418
Sharing election content with your followers,0.14946254930942424,0.13343086258451226,0.08983203773921547,0.07098120012253904,0.10718988157968613
Commenting on or discussing election-related posts,0.18356141743797738,0.2251632745732836,0.11354218720275458,0.10544036459748163,0.14669877836154188
"Privately sharing election content (e.g. through private messages, direct messages)",0.2138669742964795,0.19646292410578003,0.13387760362743006,0.08278952045127572,0.15136927870207556
Sharing content offline with your friends/family,0.23027946247573286,0.18233538247069134,0.2068012158823093,0.17131943516780726,0.20025625064475921
Liking or reacting to election-related posts,0.25994450420962095,0.15757592199304432,0.14236626658708604,0.16520593140831968,0.18066098608066175
Clicking on links to learn more about election topics,0.3428254570796171,0.2991897647251508,0.3448711566641799,0.260609203109305,0.31635349719521505
Browsing or reading posts about election-related topics,0.44555497125470633,0.5324194084902413,0.46674047918178757,0.3904052963139773,0.45237302573213095
