,overall
"Other, please specify",0.03066087028468966
Civic or religious organizations in your community,0.05265324824787683
Don't know/ No opinion,0.07625943826237885
Your preferred candidate,0.08520567115352957
"Your favorite social media influencer or content creator (e.g. TikTok, X/Twitter, Reels, etc.)",0.09280429868464922
"Your favorite commentator or analyst from a radio show, podcast, TV show, blog, or newspaper",0.10591529079101297
A national political party organization,0.10980637048807325
"Elected officials at any level (e.g. mayors, governors, Congress members)",0.12395427731306592
"Fact-checking organizations (e.g. Snopes, PolitiFact, AP Fact Check, etc.)",0.1312137920707517
Local or county administrators,0.168279312400817
Friends and family,0.17385039210882305
"News media professionals (local/national TV news anchors, journalists, reporters)",0.1790811349202663
Election-related organizations (including integrity and voting rights groups),0.19566673126550066
State election administrators,0.22418099094576086
A federal agency or website dedicated to elections (e.g. the U.S. Election Assistance Commission or vote.gov),0.326555833464904
